PAMID,CountryCode,Country,PAM No,Name,Objective,Description,Type of instrument,Primary EU policy responsible objectives,Secondary EU policy responsible objectives,Tertiary EU policy responsible objectives,Related EU policies,Affected GHG,Link to EU Emissions Trading Scheme ETS,Targeted sectors,Status,Start year,End year,Comment on implementation period,Type of implementing entities,Name of implementing entities,Projection scenario in which the PAM is included,Inclusion of estimate in projections,Indicators to monitor and evaluate implementation,2015 total kt CO2 equivalent per year:number,2015 EU ETS kt CO2:number,2015 non ETS kt CO2:number,2020 total kt CO2:number,2020 EU ETS kt CO2:number,2020 non ETS kt CO2:number,2025 total kt CO2:number,2030 total kt CO2:number,Average emission reduction kt CO2,Impact included in another policy or policy package,Other policy or policy package in which the impact is included,Reference source of estimation ,Years for which the reduction applies,Basis for estimate,Factors affected by PAM,Inclusion of savings related to EU policies,Costs in EUR per tonne CO2 equivalent reduced sequestered,Absolute costs per year in EUR,Description _ basis for cost estimate,Documentation _ source of cost estimate,Interaction with other policies and measures at the national or EU level,Details on policy interactions,Non GHG_mitigation benefits,Additional comment,Name or organisation providing information on policy,Check of mandatory reporting,Comments by MS
SE-CRS-003,SE,Sweden,3,The Environ mental Code,Ecologically sustainable development,See Report for Sweden 2013,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Cross-cutting: Integrated pollution prevention and control (IPPC) (Directive 96/61/EC) and recast (Directive 2008/1/EC),,,Cross-cutting: Integrated pollution prevention and control (IPPC) (Directive 96/61/EC) and recast (Directive 2008/1/EC),CO2,"EU ETS, non EU ETS","Cross-cutting, Land use / land-use change / forestry, Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,1999,,,National government,Swedish EPA,with existing measures (WEM),,NO,,,,,,,,,,,,,,,,,,,,,,,,,,Details incomplete,
SE-CRS-004,SE,Sweden,4,Delegation for sustainable cities,Change-over to ecological sustainability at local level,See Report for Sweden 2013 and NC5,Economic,National policy not related to EU policies,,,National policy not related to EU policies,CO2,"EU ETS, non EU ETS","Cross-cutting, Land use / land-use change / forestry, Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",expired,2009,2010,,National government,"National Board of Housing, Building and Planning",with existing measures (WEM),,NO,,,,,,,,,,,,,,,,,,,,,,,,,,Details incomplete,
SE-CRS-005,SE,Sweden,5,Research and Development,Development of low carbon technology,See Report for Sweden 2013,"Research, Education, Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,"EU ETS, non EU ETS","Cross-cutting, Land use / land-use change / forestry, Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,1990,,,National government,Swedish Enery Agency  (principally),with existing measures (WEM),,NO,,,,,,,,,,,,,,,,,,,,,,,,,,Details incomplete,
SE-CRS-006,SE,Sweden,6,Climate Information Campaign,Increased knowledge of problem of climate change,See Report for Sweden 2011,"Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,"EU ETS, non EU ETS","Cross-cutting, Land use / land-use change / forestry, Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",expired,2002,2003,,National government,Swedish EPA,with existing measures (WEM),,NO,,,,,,,,,,,,,,,,,,,,,,,,,,Details incomplete,
SE-CRS-007,SE,Sweden,7,Energy tax,More effecient energy use,See Report for Sweden 2013,Economic,Energy supply: Taxation of energy products and electricity (Directive 2003/96/EC) ,,,Energy supply: Taxation of energy products and electricity (Directive 2003/96/EC) ,CO2,"EU ETS, non EU ETS","Cross-cutting, Land use / land-use change / forestry, Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,1957,,,National government,National Tax board,with existing measures (WEM),,NO,,,,,,,,,,Yes,Carbon dioxide tax,See NC 5. Please note that the assessment of emissions reductions was made in 2008 with other assumptions in the projections than the reported projections in 2013. ,,,,,,,,,"Interacts with 8,9 and 11",,,,,Details incomplete,
SE-CRS-008,SE,Sweden,8,Carbon dioxide tax,Reduce use of fossil fuels,See Report for Sweden 2013,Economic,National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Cross-cutting, Land use / land-use change / forestry, Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,1991,,,National government,Natio-nal tax board,with existing measures (WEM),,NO,17000,,,16000,,,,,,,,See NC 5. Please note that the assessment of emissions reductions was made in 2008 with other assumptions in the projections than the reported projections in 2013. ,,,,,,,,,"Interacts with 7,9 and 11",,,,,Details incomplete,
SE-CRS-009,SE,Sweden,9,EU Emissions trading scheme,Reduse GHG emissions  in the trading sector,See Report for Sweden 2013,Economic,Cross-cutting: EU ETS directive 2003/87/EC as amended by Directive 2008/101/EC and Directive 2009/29/EC,,,Cross-cutting: EU ETS directive 2003/87/EC as amended by Directive 2008/101/EC and Directive 2009/29/EC,CO2,EU ETS,"Cross-cutting, Land use / land-use change / forestry, Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2005,,,National government,Swedish EPA and Swedish Energy Agency,with existing measures (WEM),,NO,,,,,,,,,,Yes,Carbon dioxide tax,See NC 5. Please note that the assessment of emissions reductions was made in 2008 with other assumptions in the projections than the reported projections in 2013. ,,,,,,,,,"Interacts with 7,8 and 11",,,,,Details incomplete,
SE-ENS-001,SE,Sweden,10,"Programme for increased supply of electricity from renewables, 1990-2002",Increase supply of electricity from renewables,See NC 3,Economic,National policy not related to EU policies,,,National policy not related to EU policies,CO2,EU ETS,Energy supply,expired,1998,2002,,National government,Swedish energy Agency,with existing measures (WEM),,NO,,,,,,,,,,,,See NC 5. Please note that the assessment of emissions reductions was made in 2008 with other assumptions in the projections than the reported projections in 2013. ,,,,,,,,,,,,,,Details incomplete,
SE-ENS-002,SE,Sweden,11,Electricity certificate system,Increase supply of electricity from renewables,See Report for Sweden 2013,Economic,Energy supply: RES directive (Directive 2009/28/EC),,,Energy supply: RES directive (Directive 2009/28/EC),CO2,EU ETS,Energy supply,implemented,2003,,,National government,Swedish Energy Agency,with existing measures (WEM),,NO,,,,,,,,,,Yes,Carbon dioxide tax,See NC 5. Please note that the assessment of emissions reductions was made in 2008 with other assumptions in the projections than the reported projections in 2013. ,,,,,,,,,"Interacts with 7,8 and 9",,,,,Details incomplete,
SE-ENS-003,SE,Sweden,12,Grants for wind power and solar power,Increase supply of electricity from renewables,See Report for Sweden 2013,Economic,Energy supply: Electricity production from renewable energy sources (Directive 2001/77/EC),,,Energy supply: Electricity production from renewable energy sources (Directive 2001/77/EC),CO2,EU ETS,Energy supply,implemented,2003,,Implementation: 2003 resp. 2009,National government,Swedish Energy Agency,with existing measures (WEM),,NO,,,,,,,,,,,,,,,,,,,,,,,,,,Details incomplete,
SE-RES-001,SE,Sweden,13,Investment support for conversion from oilheating,Reduce oil use for heating of houses and apartment blocks,See Report for Sweden 2011,Economic,National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Energy use - residential, Energy use -Industry / Construction, Energy supply",expired,2005,2008,,National government,"National Board of Housing, Building and Planning",with existing measures (WEM),,NO,,,,,,,,,,,,,,,,,,,,,,,,,,Details incomplete,
SE-ENS-004,SE,Sweden,14,Investment support for conversion from direct-acting electric heating,Reduce use of electricity for heating of houses and apartment blocks,See Report for Sweden 2011,Economic,National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,Energy supply,expired,2006,2010,,National government,"National Board of Housing, Building and Planning",with existing measures (WEM),,NO,,,,,,,,,,,,,,,,,,,,,,,,,,Details incomplete,
SE-RES-002,SE,Sweden,15,Programme for reduced electricity use 1990-2002,Reduse electricity use,See NC3 ,Economic,National policy not related to EU policies,,,National policy not related to EU policies,CO2,"EU ETS, non EU ETS","Energy use - residential, Energy use -Industry / Construction, Energy supply",expired,1998,2002,,National government,Swedish Energy Agency,with existing measures (WEM),,NO,,,,,,,,,,,,,,,,,,,,,,,,,,Details incomplete,
SE-RES-003,SE,Sweden,16,Subsidies for technology procurement,More efficient energy use and increased use of renewables,See report for Sweden 2013,Economic,National policy not related to EU policies,,,National policy not related to EU policies,CO2,"EU ETS, non EU ETS","Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,1998,,,National government,Swedish Energy Agency ,with existing measures (WEM),,NO,,,,,,,,,,,,,,,,,,,,,Interacts with17-21,,,,,Details incomplete,
SE-RES-004,SE,Sweden,17,Energy labelling,More efficient energy use  ,See Report for Sweden 2013,"Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy consumption: Energy-efficiency labelling for office equipment (Reg No. 2422/2001) and recast (Regulation No. 106/2008),,,Energy consumption: Energy-efficiency labelling for office equipment (Reg No. 2422/2001) and recast (Regulation No. 106/2008),CO2,"EU ETS, non EU ETS","Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,1995,,,National government,Swedish Energy Agency,with existing measures (WEM),,NO,,,,,,,,,,,,,,,,,,,,,"Interacts with 16, 18-21",,,,,Details incomplete,
SE-RES-005,SE,Sweden,18,Energy declarations,Promote efficient use of energy in buildings,See Report for Sweden 2013,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy consumption: Recast of the Energy performance of buildings (Directive 2010/31/EC),,,Energy consumption: Recast of the Energy performance of buildings (Directive 2010/31/EC),CO2,"EU ETS, non EU ETS","Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2009,,,National government,"National Board of Housing, Building and Planning",with existing measures (WEM),,NO,,,,,,,,,,,,,,,,,,,,,"Interacts with 16-17, 19-21",,,,,Details incomplete,
SE-RES-006,SE,Sweden,19,Energy advisory services,More efficient energy use and increased use of renewables,See Report for Sweden 2013,"Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,"EU ETS, non EU ETS","Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,1998,,,National government,Swedish Energy Agency,with existing measures (WEM),,NO,,,,,,,,,,,,,,,,,,,,,"Interacts with 16-18,20-21",,,,,Details incomplete,
SE-RES-007,SE,Sweden,20,Building regulations standards for energy efficiency,More efficient energy use,See Report for Sweden 2013,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy consumption: Recast of the Energy performance of buildings (Directive 2010/31/EC),,,Energy consumption: Recast of the Energy performance of buildings (Directive 2010/31/EC),CO2,"EU ETS, non EU ETS","Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,1960,,Implementation in the 1960s,National government,"National Board of Housing, Building and Planning",with existing measures (WEM),,NO,,,,,,,,,,,,,,,,,,,,,"Interacts with 16-19,21",,,,,Details incomplete,
SE-ENU-001,SE,Sweden,21,Programme for Energy efficiency in energy-intensive industry,Reduce electricity use,See Report for Sweden 2013,"Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,EU ETS,"Energy use -Industry / Construction, Energy supply",implemented,2004,,,National government,Swedish Energy Agency,with existing measures (WEM),,NO,,,,,,,,,,,,,,,,,,,,,Interacts with 16-20,,,,,Details incomplete,
SE-ENU-002,SE,Sweden,22,Application of the Environmental Code,Ecologically sustainable development,See NC4,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Cross-cutting: Integrated pollution prevention and control (IPPC) (Directive 96/61/EC) and recast (Directive 2008/1/EC),,,Cross-cutting: Integrated pollution prevention and control (IPPC) (Directive 96/61/EC) and recast (Directive 2008/1/EC),PFC,EU ETS,"Energy use -Industry / Construction, Energy supply",implemented,1999,,,National government,Swedish EPA ,with existing measures (WEM),,NO,200,200,,200,200,,,,,,,See NC 4. Please note that the assessment of emissions reductions was made in 2008 with other assumptions in the projections than the reported projections in 2013. ,,,,,,,,,,,,,,Details incomplete,
SE-ENU-003,SE,Sweden,23,Increased CO2 tax for non ETS industry and introduction of energy tax on fossil fuels for heating in industry,Reduce use of fossil fuels/increase cost effeciency in climate policy,See Report for Sweden 2013,Economic,National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Energy use -Industry / Construction, Energy supply",implemented,2011,,,National government,Swedish Tax Agency,with existing measures (WEM),,NO,200,,200,200,,200,,,,,,See NC 5. Please note that the assessment of emissions reductions was made in 2008 with other assumptions in the projections than the reported projections in 2013. ,,,,,,,,,,,,,,Details incomplete,
SE-IND-001,SE,Sweden,24,F-gas regulation including mobile air conditioners directive,Reduce the use of F-gases,See Report for Sweden 2013,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Industrial Process: F-gas regulation (Regulation No 842/2006),,,Industrial Process: F-gas regulation (Regulation No 842/2006),HFC,non EU ETS,"Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2007,,,National government,Swedish EPA ,with existing measures (WEM),,NO,500,,500,700,,700,,,,,,See NC 5. Please note that the assessment of emissions reductions was made in 2008 with other assumptions in the projections than the reported projections in 2013. ,,,,,,,,,,,,,,Details incomplete,
SE-TRA-001,SE,Sweden,25,Vehicle fuel taxes,Internalise the external effects of road transport including greenhouse gas emissions,See Report for Sweden 2013,Economic,Energy supply: Taxation of energy products and electricity (Directive 2003/96/EC) ,,,Energy supply: Taxation of energy products and electricity (Directive 2003/96/EC) ,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,1957,,Implementation: 1957 resp. 1991,National government,Swedish tax Agency,with existing measures (WEM),,NO,2300,,2300,2400,,2400,,,,,,See NC 5. Please note that the assessment of emissions reductions was made in 2008 with other assumptions in the projections than the reported projections in 2013. ,,,,,,,,,,,,,,Details incomplete,
SE-TRA-002,SE,Sweden,26,Taxation of fueluse  received as benefit (1997 amendment),Reduce use of fossil fuels,See Report for Sweden 2013 and NC4,Economic,National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,1997,,,National government,Swedish tax Agency,with existing measures (WEM),,NO,200,,200,200,,200,,,,,,See NC 4. Please note that the assessment of emissions reductions was made with other assumptions in the projections than the reported projections in 2013. ,,,,,,,,,,,,,,Details incomplete,
SE-TRA-003,SE,Sweden,27,Raised energy tax on diesel ,Reduce use of fossil fuels/increase cost effeciency in climate policy,See Report for Sweden 2013,Economic,National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2011,,Implementation: 2011/2013,National government,Swedish tax Agency,with existing measures (WEM),,NO,100,,100,200,,200,,,,,,See NC 5. Please note that the assessment of emissions reductions was made in 2008 with other assumptions in the projections than the reported projections in 2013. ,,,,,,,,,,,,,,Details incomplete,
SE-TRA-004,SE,Sweden,28,Tax relief on biomass fuels,Reduces greenhouse gas emissions,See Report for Sweden 2013,Economic,Energy supply: RES directive (Directive 2009/28/EC),,,Energy supply: RES directive (Directive 2009/28/EC),CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2004,2013,,National government,Swedish tax Agency,with existing measures (WEM),,NO,1700,,1700,1800,,1800,,,,,,See NC5  and New projection 2011,,,,,,,,,Interacts with 29 and 30,,,,,Details incomplete,
SE-TRA-005,SE,Sweden,29,Law on supply of renewable fuels,Increased use of renewable fuels,See Report for Sweden 2013,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Energy supply: RES directive (Directive 2009/28/EC),,,Energy supply: RES directive (Directive 2009/28/EC),CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2006,,,National government,Swedish Transport Agency,with existing measures (WEM),,NO,,,,,,,,,,Yes,Tax relief on biomass fuels,See NC5  and New projection 2011,,,,,,,,,Interacts with 28 and 30,,,,,Details incomplete,
SE-TRA-006,SE,Sweden,30,Support for renewable fuels supply,Promote biogas fuel supply,See Report for Sweden 2013,Economic,National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",expired,2006,2009,,National government,Swedish EPA,with existing measures (WEM),,NO,,,,,,,,,,Yes,Tax relief on biomass fuels,See NC5  and New projection 2011,,,,,,,,,Interacts with 28 and 29,,,,,Details incomplete,
SE-TRA-007,SE,Sweden,31,Differentiated annual vehicle tax,Reduced greenhouse gas emissions,See Report for Sweden 2013,Economic,National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2006,,,National government,Swedish Tax Agency (mainly),with existing measures (WEM),,NO,,,,,,,,,,Yes,EU requirements on new light duty vehicles CO2 emissions,See NC 5. Please note that the assessment of emissions reductions was made in 2008 with other assumptions in the projections than the reported projections in 2013. ,,,,,,,,,"Interacts with 32,33,34 and 35",,,,,Details incomplete,
SE-TRA-008,SE,Sweden,32,Green car rebate,Reduced greenhouse gas emissions,See Report for Sweden 2013,Economic,National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",expired,2007,2009,,National government,Swedish Transport Agency,with existing measures (WEM),,NO,,,,,,,,,,Yes,EU requirements on new light duty vehicles CO2 emissions,See NC 5. Please note that the assessment of emissions reductions was made in 2008 with other assumptions in the projections than the reported projections in 2013. ,,,,,,,,,"Interacts with 31,33,34 and 35",,,,,Details incomplete,
SE-TRA-009,SE,Sweden,33,Annual vehicle tax exemption ,Reduced greenhouse gas emissions,See Report for Sweden 2013,Economic,National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2010,,,National government,Swedish Tax Agency (mainly),with existing measures (WEM),,NO,,,,,,,,,,Yes,EU requirements on new light duty vehicles CO2 emissions,See NC 5. Please note that the assessment of emissions reductions was made in 2008 with other assumptions in the projections than the reported projections in 2013. ,,,,,,,,,"Interacts with 31,32,34 and 35",,,,,Details incomplete,
SE-TRA-010,SE,Sweden,34,Implementation of the automotive industry's commitment on lower carbon dioxide emissions from new cars,Reduced carbon dioxide emissions,NC4,"Voluntary/ negotiated agreement, Fiscal, Economic","Transport: Voluntary agreement with car manufacturers to reduce specific CO2 emissions (ACEA, KAMA, JAMA)",,,"Transport: Voluntary agreement with car manufacturers to reduce specific CO2 emissions (ACEA, KAMA, JAMA)",CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",expired,1998,2008,,National government,National Road Administration,with existing measures (WEM),,NO,,,,,,,,,,Yes,EU requirements on new light duty vehicles CO2 emissions,See NC 5. Please note that the assessment of emissions reductions was made in 2008 with other assumptions in the projections than the reported projections in 2013. ,,,,,,,,,"Interacts with 31,32,33 and 35",,,,,Details incomplete,
SE-TRA-011,SE,Sweden,35,EU Requriements on new vehicles CO2 emissions,Reduced carbon dioxide emissions,See Report for Sweden 2013,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Transport: Strategy for cars CO2 (Regulation 443/2009),,,Transport: Strategy for cars CO2 (Regulation 443/2009),CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2009,,,National government,Swedish Transport administration,with existing measures (WEM),,NO,1000,,1000,1300,,1300,,,,,,See NC 5. Please note that the assessment of emissions reductions was made in 2008 with other assumptions in the projections than the reported projections in 2013. ,,,,,,,,,"Interacts with 31,32,33 and 34",,,,,Details incomplete,
SE-WST-001,SE,Sweden,36,"Rules on municipal waste planning, rules on producer responsibility for certain goods, tax on landfilling of waste, prohibition of landfilling of combustible and organic waste 2002 and 2005",Decrease the landfilling of organic waste and increase recycling of waste ,See Report for Sweden 2013,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",Waste: Landfill Directive (Directive 1999/31/EC),,,Waste: Landfill Directive (Directive 1999/31/EC),CH4,non EU ETS,"Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,1991,,Implementation: 1991/2005,National government,Swedish EPA ,with existing measures (WEM),,NO,1700,,1700,1900,,1900,,,,,,See NC 5. Please note that the assessment of emissions reductions was made in 2008 with other assumptions in the projections than the reported projections in 2013. ,,,,,,,,,,,,,,Details incomplete,
SE-AGR-001,SE,Sweden,37,Targeted environmental grants under rural development programme,A varied agricultural landscape and reduced eutrophication,See Report for Sweden 2013,Economic,"Agriculture: CAP ""Health Check"" 2008 and the ""Set aside"" regulation (73/2009)",,,"Agriculture: CAP ""Health Check"" 2008 and the ""Set aside"" regulation (73/2009)",N2O,non EU ETS,"Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2007,,,National government,Swedish Board of Agriculture,with existing measures (WEM),,NO,,,,,,,,,,,,,,,,,,,,,,,,,,Details incomplete,
SE-AGR-002,SE,Sweden,38,Programme of measures to reduce losses of crop nutrients,Reduced eutrophication,See NC4,Economic,Agriculture: Water Framework Directive 2000/60/EC,,,Agriculture: Water Framework Directive 2000/60/EC,N2O,non EU ETS,"Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,1990,,Implementation in the late 1980s,National government,Swedish Board of Agriculture,with existing measures (WEM),,NO,,,,,,,,,,,,,,,,,,,,,,,,,,Details incomplete,
SE-COM-001,SE,Sweden,39,Increased CO2 tax for non ETS agriculture sectors,Reduce use of fossil fuels/ increase cost effeciency in climate policy,See Report for Sweden 2013,Economic,National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2011,,,National government,National Tax Agency,with existing measures (WEM),,NO,200,,200,200,,200,,,,,,See NC 5. Please note that the assessment of emissions reductions was made in 2008 with other assumptions in the projections than the reported projections in 2013. ,,,,,,,,,,,,,,Details incomplete,
SE-LUC-001,SE,Sweden,40,Provisions on forest stewardship,Attaining environmental objectives and production targets for forests,See Report for Sweden 2013,"Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Land use / land-use change / forestry, Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,1979,,,National government,Swedish Forest Agency,with existing measures (WEM),,NO,,,,,,,,,,,,,,,,,,,,,,,,,,Details incomplete,
SE-LUC-002,SE,Sweden,41,Provisions on drainage i  the Environmental code,Biological diversity and reduce emissions,See Report for Sweden 2013,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CH4,non EU ETS,"Land use / land-use change / forestry, Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,1999,,,National government,State provoncial offices,with existing measures (WEM),,NO,,,,,,,,,,,,,,,,,,,,,,,,,,Details incomplete,
SE-LUC-003,SE,Sweden,42,Provisions on nature reserves and habitat protection,Protection for biological diversity and for carbon stock,See Report for Sweden 2013,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Land use / land-use change / forestry, Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,1999,,,National government,State provoncial offices,with existing measures (WEM),,NO,,,,,,,,,,,,,,,,,,,,,,,,,,Details incomplete,
SE-LUC-004,SE,Sweden,43,Voluntary set-asides of forest land,Environmentally sound forest,See Report for Sweden 2013,"Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Land use / land-use change / forestry, Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,1995,,Implementation in the mid 1990s,National government,Swedish Forest Agency,with existing measures (WEM),,NO,,,,,,,,,,,,,,,,,,,,,,,,,,Details incomplete,
SE-LUC-005,SE,Sweden,44,Advice on forest production,Sustainable production with efficient environmrnal concern,See Report for Sweden 2013,"Information, Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Land use / land-use change / forestry, Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",implemented,2012,,,National government,Swedish Forest Agency,with existing measures (WEM),,NO,,,,,,,,,,,,,,,,,,,,,,,,,,Details incomplete,
SE-TRA-012,SE,Sweden,45,Quota obligation for low-admixture of biofuels,Promote biofuels,See Report for Sweden 2013,"Regulatory, Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",planned,2014,,,National government,not decided yet,with additional measures (WAM),,NO,,,,,,,,,,,,,,,,,,,,,,,,,,Details incomplete,
CH-CRS-001,CH,Switzerland,1,Agreements with trade and industry,Emission reductions to obtain exemption from CO2 levy,Binding agreement to reduce emissions in trade and industry,"Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Cross-cutting, Land use / land-use change / forestry, Waste, Agriculture, Industrial Processes, Transport, Energy use - other (commercial and agricultural), Energy use - residential, Energy use -Industry / Construction, Energy supply",expired,2002,2012,,"National government, Companies / businesses / industrial associations",FOEN/SFOE/ EnAW,with existing measures (WEM),,CO2-eq avoided,525,,,525,,,,,,,,"Infras 2008b, EnAW 2003-2008, Weisskopf-Partner 2009",,,,,,14.6 Mio. CHF (thereof 6.1 Mio CHF in-house effort of industry),"Programme cost including administration, development and implementation (CO2-related investments not included) Numbers valid for 2009",EnAW Jahresbericht 2009,yes,"allows exemption from CO2 levy, superseded by revised CO2 act with compulsory participation in CH-ETS for large companies or binding agreements for small emitters","realize productivity increase, reduced energy cost",,,OK,
CH-ENU-001,CH,Switzerland,2,Agreement with Cemsuisse,Reduction of CO2 emission to obtain exemption from CO2 levy,Cement industry has binding agreement with the Swiss Confederation to obtain exemption from CO2 levy,"Voluntary/ negotiated agreement, Fiscal, Economic",National policy not related to EU policies,,,National policy not related to EU policies,CO2,non EU ETS,"Energy use -Industry / Construction, Energy supply",expired,2003,2012,,"National government, Companies / businesses / industrial associations",FOEN / Cemsuisse/EnAW,with existing measures (WEM),,CO2-eq avoided,,,,,,,,,,,,,,,,,,,,,yes,"allows exemption from CO2 levy, superseded by revised CO2 act with compulsory participation in CH-ETS ",realize productivity increase,"from 2013, cement industry has to participate in the ETS system",,OK,
